Scaffold	start_pos	end_pos	intergenic_length	upstream_gene	downstream_gene
Super-Scaffold_100001	0	33283	33283	none	g_32457
Super-Scaffold_100001	45828	47152	1324	g_32457	g_32458
Super-Scaffold_100001	54311	58665	4354	g_32458	g_32459
Super-Scaffold_100001	76720	79171	2451	g_32459	g_32460
Super-Scaffold_100001	91822	124925	33103	g_32460	g_32461
Super-Scaffold_100001	131831	134744	2913	g_32461	g_32462
Super-Scaffold_100001	150640	165691	15051	g_32462	g_32463
Super-Scaffold_100001	166731	193351	26620	g_32463	g_32464
Super-Scaffold_100001	212815	227161	14346	g_32464	g_32465
Super-Scaffold_100001	227433	292464	65031	g_32465	g_32468
Super-Scaffold_100001	292952	301538	8586	g_32468	g_32469
Super-Scaffold_100001	302656	303479	823	g_32469	g_32470
Super-Scaffold_100001	303814	406153	102339	g_32470	g_32475
Super-Scaffold_100001	406572	463049	56477	g_32475	g_32476
Super-Scaffold_100001	504008	507506	3498	g_32476	g_42525
Super-Scaffold_100001	508075	571949	63874	g_42525	g_32479
Super-Scaffold_100001	584226	592387	8161	g_32479	g_32480
Super-Scaffold_100001	593451	669756	76305	g_32480	g_32482
Super-Scaffold_100001	690923	705447	14524	g_32482	g_32483
Super-Scaffold_100001	716128	774708	58580	g_32483	g_42528
Super-Scaffold_100001	774959	776541	1582	g_42528	g_32486
Super-Scaffold_100001	776900	789256	12356	g_32486	g_32488
Super-Scaffold_100001	789792	912691	122899	g_32488	g_32490
Super-Scaffold_100001	913886	964455	50569	g_32490	g_32493
Super-Scaffold_100001	967619	969483	1864	g_32493	g_32494
Super-Scaffold_100001	971862	971915	53	g_32494	g_32495
Super-Scaffold_100001	972549	1035258	62709	g_32495	g_32497
Super-Scaffold_100001	1038597	1045662	7065	g_32497	g_45523
Super-Scaffold_100001	1046006	1091714	45708	g_45523	g_32499
Super-Scaffold_100001	1094310	1173469	79159	g_32499	g_32500
Super-Scaffold_100001	1188578	1273261	84683	g_32500	g_32501
Super-Scaffold_100001	1288417	1317520	29103	g_32501	g_32502
Super-Scaffold_100001	1318320	1318472	152	g_32502	g_45524
Super-Scaffold_100001	1318897	1340944	22047	g_45524	g_32503
Super-Scaffold_100001	1352264	1360343	8079	g_32503	g_32504
Super-Scaffold_100001	1361527	1381047	19520	g_32504	g_32506
Super-Scaffold_100001	1381928	1405827	23899	g_32506	g_32507
Super-Scaffold_100001	1406231	1406318	87	g_32507	g_32508
Super-Scaffold_100001	1406821	1421261	14440	g_32508	g_32509
Super-Scaffold_100001	1421476	1439408	17932	g_32509	g_32511
Super-Scaffold_100001	1441787	1467631	25844	g_32511	g_32512
Super-Scaffold_100001	1468137	1495975	27838	g_32512	g_32513
Super-Scaffold_100001	1511357	1548762	37405	g_32513	g_32516
Super-Scaffold_100001	1549022	1549091	69	g_32516	g_32517
Super-Scaffold_100001	1549732	1555972	6240	g_32517	g_32518
Super-Scaffold_100001	1560862	1603323	42461	g_32518	g_32519
Super-Scaffold_100001	1604912	1605231	319	g_32519	g_32520
Super-Scaffold_100001	1607132	1645460	38328	g_32520	g_32522
Super-Scaffold_100001	1645669	1674964	29295	g_32522	g_42536
Super-Scaffold_100001	1675248	1681073	5825	g_42536	g_32524
Super-Scaffold_100001	1682683	1703078	20395	g_32524	g_42537
Super-Scaffold_100001	1703467	1717044	13577	g_42537	g_32525
Super-Scaffold_100001	1721760	1724384	2624	g_32525	g_32526
Super-Scaffold_100001	1725591	1746419	20828	g_32526	g_32527
Super-Scaffold_100001	1762765	1763792	1027	g_32527	g_32528
Super-Scaffold_100001	1764289	1772575	8286	g_32528	g_32529
Super-Scaffold_100001	1776864	1791172	14308	g_32529	g_32530
Super-Scaffold_100001	1793857	1825041	31184	g_42538	g_32531
Super-Scaffold_100001	1829431	1831986	2555	g_32531	g_32532
Super-Scaffold_100001	1850091	1864827	14736	g_32532	g_32533
Super-Scaffold_100001	1869635	1881410	11775	g_32533	g_32534
Super-Scaffold_100001	1881646	1903174	21528	g_32534	g_32536
Super-Scaffold_100001	1910368	1917852	7484	g_32536	g_32537
Super-Scaffold_100001	1921209	2018692	97483	g_32537	g_32538
Super-Scaffold_100001	2025027	2066450	41423	g_32538	g_32539
Super-Scaffold_100001	2066734	2066767	33	g_32539	g_32540
Super-Scaffold_100001	2070319	2095287	24968	g_32540	g_32542
Super-Scaffold_100001	2095571	2201283	105712	g_32542	g_32544
Super-Scaffold_100001	2201660	2300985	99325	g_32544	g_32548
Super-Scaffold_100001	2301893	2301966	73	g_32548	g_45525
Super-Scaffold_100001	2304651	2332075	27424	g_45525	g_32549
Super-Scaffold_100001	2332479	2428367	95888	g_32549	g_32550
