qseqid qstart qend sstart send
DmH1TOMM40_1008nt 880 1008 4594086 4593958
DmHSL_Glean_2499nt 1131 1230 4622017 4621918
DmHSL_Glean_2499nt 1 242 4633651 4633892
DmHSL_Glean_2499nt 239 525 4634664 4634950
DmHSL_Glean_2499nt 521 618 4635847 4635944
DmHSL_Glean_2499nt 615 762 4638127 4638274
DmHSL_Glean_2499nt 762 949 4638658 4638845
DmHSL_Glean_2499nt 946 1098 4639710 4639862
DmHSL_Glean_2499nt 1097 1244 4642778 4642925
DmHSL_Glean_2499nt 1242 1472 4643601 4643831
DmHSL_Glean_2499nt 1469 1658 4645022 4645211
DmHSL_Glean_2499nt 1660 1833 4646639 4646821
DmHSL_Glean_2499nt 1834 2101 4647470 4647737
DmHSL_Glean_2499nt 2100 2499 4648324 4648723
Cgob_TMEM145-201_1662nt 110 186 4665842 4665918
Cgob_TMEM145-201_1662nt 185 264 4666372 4666451
Cgob_TMEM145-201_1662nt 263 353 4669073 4669163
Cgob_TMEM145-201_1662nt 351 454 4669770 4669873
Cgob_TMEM145-201_1662nt 453 539 4676834 4676920
Cgob_TMEM145-201_1662nt 611 681 4679560 4679631
Cgob_TMEM145-201_1662nt 679 761 4680236 4680318
Cgob_TMEM145-201_1662nt 760 840 4680594 4680674
Cgob_TMEM145-201_1662nt 837 933 4682053 4682149
Cgob_TMEM145-201_1662nt 932 1108 4684263 4684439
Cgob_TMEM145-201_1662nt 1106 1226 4685152 4685272
Cgob_TMEM145-201_1662nt 1228 1412 4685627 4685811
Cgob_TMEM145-201_1662nt 1416 1636 4687944 4688164
Cgob_mrpl117-201_498nt 243 477 4691665 4691431
Cgob_mrpl117-201_498nt 173 244 4691851 4691780
DmH1Tryp1d_729nt 445 580 4694939 4694804
DmH1Tryp1d_729nt 265 376 4695177 4695066
DmH1Tryp1d_729nt 41 190 4695491 4695342
DmH1Tryp1d_729nt 577 683 4698467 4698361
DmH1Tryp3a2_738nt 482 575 4698665 4698572
DmH1Tryp1d_729nt 443 580 4698698 4698561
DmH1Tryp1d_729nt 192 442 4699051 4698801
DmH1Tryp1d_729nt 48 191 4699323 4699180
DmH1Tryp1d_729nt 48 191 4702965 4703108
DmH1Tryp1d_729nt 192 442 4703237 4703487
DmH1Tryp1d_729nt 443 580 4703590 4703727
DmH1Tryp3a2_738nt 482 575 4703623 4703716
DmH1Tryp1d_729nt 577 683 4703823 4703929
DmH1Tryp1d_729nt 577 683 4706024 4705918
DmH1Tryp3a2_738nt 482 575 4706224 4706131
DmH1Tryp1d_729nt 443 580 4706257 4706120
DmH1Tryp1d_729nt 192 442 4706610 4706360
DmH1Tryp1d_729nt 48 191 4706882 4706739
DmH1Tryp1d_729nt 577 683 4709641 4709535
DmH1Tryp3a2_738nt 482 575 4709841 4709748
DmH1Tryp1d_729nt 443 580 4709874 4709737
DmH1Tryp1d_729nt 192 442 4710227 4709977
DmH1Tryp1d_729nt 48 191 4710499 4710356
DmH1Tryp1d_729nt 577 683 4715378 4715272
DmH1Tryp3a2_738nt 482 575 4715578 4715485
DmH1Tryp1d_729nt 455 580 4715599 4715474
DmH1Tryp1d_729nt 192 442 4715949 4715699
DmH1Tryp1d_729nt 41 191 4716228 4716078
DmH1Tryp1d_729nt 41 191 4718273 4718423
DmH1Tryp1d_729nt 199 441 4718514 4718756
DmH1Tryp1d_729nt 41 191 4722809 4722959
DmH1Tryp1d_729nt 193 442 4723077 4723326
DmH1Tryp1d_729nt 455 580 4723426 4723551
DmH1Tryp3a2_738nt 482 575 4723447 4723540
DmH1Tryp1d_729nt 577 683 4723647 4723753
DmH1Tryp3a2_738nt 582 738 4728624 4728468
DmH1Tryp3a2_738nt 447 586 4728853 4728714
