Scaffold	start_pos	end_pos	intergenic_length	upstream_gene	downstream_gene
ptg000001l	0	1	1	none	g_24051
ptg000001l	27728	87491	59763	g_24051	g_30642
ptg000001l	88654	127323	38669	g_30642	g_24704
ptg000001l	127526	133417	5891	g_24704	g_28652
ptg000001l	143456	152848	9392	g_28652	g_30436
ptg000001l	174023	213415	39392	g_30436	g_11309
ptg000001l	213858	214767	909	g_11309	g_5605
ptg000001l	215918	375217	159299	g_5605	g_29883
ptg000001l	393571	404141	10570	g_29883	g_29356
ptg000001l	404932	427579	22647	g_29356	g_15569
ptg000001l	429668	450860	21192	g_15569	g_16932
ptg000001l	451610	476687	25077	g_16932	g_28477
ptg000001l	477475	477710	235	g_28477	g_28423
ptg000001l	478948	501840	22892	g_28423	g_2268
ptg000001l	510952	805020	294068	g_2268	g_4324
ptg000001l	892241	928464	36223	g_4324	g_19841
ptg000001l	935539	949444	13905	g_19841	g_36338
ptg000001l	958019	976224	18205	g_36338	g_38127
ptg000001l	986347	1043552	57205	g_38127	g_11674
ptg000001l	1043779	1129295	85516	g_11674	g_936
ptg000001l	1163148	1168605	5457	g_936	g_27565
ptg000001l	1194146	1229824	35678	g_27565	g_6833
ptg000001l	1235447	1247501	12054	g_6833	g_36798
ptg000001l	1258201	1263433	5232	g_36798	g_11861
ptg000001l	1275308	1300896	25588	g_11861	g_4091
ptg000001l	1306010	1308797	2787	g_4091	g_19240
ptg000001l	1315224	1358318	43094	g_19240	g_17001
ptg000001l	1362872	1365212	2340	g_17001	g_19561
ptg000001l	1368856	1369448	592	g_19561	g_18160
ptg000001l	1372064	1372538	474	g_18160	g_40183
ptg000001l	1373990	1379099	5109	g_40183	g_19186
ptg000001l	1379314	1395789	16475	g_19186	g_25925
ptg000001l	1399821	1404407	4586	g_25925	g_35594
ptg000001l	1418165	1420362	2197	g_35594	g_15914
ptg000001l	1427089	1460037	32948	g_15914	g_2585
ptg000001l	1479122	1507710	28588	g_2585	g_39985
ptg000001l	1513609	1516580	2971	g_39985	g_4891
ptg000001l	1518707	1524771	6064	g_4891	g_7105
ptg000001l	1533931	1536568	2637	g_7105	g_5269
ptg000001l	1541139	1550553	9414	g_5269	g_21254
ptg000001l	1555612	1586849	31237	g_21254	g_36951
ptg000001l	1587103	1720579	133476	g_36951	g_14228
ptg000001l	1749956	1775695	25739	g_14228	g_14088
ptg000001l	1776195	1780564	4369	g_14088	g_35167
ptg000001l	1791195	1834065	42870	g_35167	g_34534
ptg000001l	1835949	1838353	2404	g_34534	g_30761
ptg000001l	1840241	1844272	4031	g_30761	g_2742
ptg000001l	1845432	1854676	9244	g_2742	g_3855
ptg000001l	1855932	1890817	34885	g_3855	g_34994
ptg000001l	1895749	1897695	1946	g_34994	g_31448
ptg000001l	1904733	1906949	2216	g_31448	g_21104
ptg000001l	1918258	1927533	9275	g_21104	g_6278
ptg000001l	1941535	1946189	4654	g_6278	g_25020
ptg000001l	1952847	1954104	1257	g_25020	g_38228
ptg000001l	1955211	1958140	2929	g_38228	g_32125
ptg000001l	1973792	1996558	22766	g_32125	g_30250
ptg000001l	2000591	2013252	12661	g_30250	g_792
ptg000001l	2016148	2017127	979	g_792	g_33818
ptg000001l	2019362	2020706	1344	g_33818	g_8549
ptg000001l	2022494	2026430	3936	g_8549	g_6242
ptg000001l	2038896	2067117	28221	g_6242	g_19304
ptg000001l	2088841	2092926	4085	g_19304	g_40197
ptg000001l	2093990	2159989	65999	g_40197	g_17979
ptg000001l	2161014	2206627	45613	g_17979	g_15289
ptg000001l	2229233	2236876	7643	g_15289	g_10463
ptg000001l	2237292	2245944	8652	g_10463	g_12264
ptg000001l	2257871	2265236	7365	g_12264	g_40109
ptg000001l	2282268	2323884	41616	g_40109	g_32848
ptg000001l	2329690	2341640	11950	g_32848	g_23219
ptg000001l	2358921	2361560	2639	g_23219	g_33842
ptg000001l	2365674	2367267	1593	g_33842	g_28171
ptg000001l	2368463	2413653	45190	g_28171	g_5256
ptg000001l	2417275	2424309	7034	g_5256	g_5640
ptg000001l	2425238	2446292	21054	g_5640	g_31728
ptg000001l	2447499	2454856	7357	g_31728	g_5111
ptg000001l	2469881	2745114	275233	g_5111	g_7659
ptg000001l	2757428	2774197	16769	g_7659	g_29409
ptg000001l	2776583	2779281	2698	g_29409	g_6546
ptg000001l	2793675	2824606	30931	g_6546	g_4617
ptg000001l	2825097	2828416	3319	g_4617	g_29861
ptg000001l	2829053	2833165	4112	g_38936	g_28843
ptg000001l	2845070	2847610	2540	g_28843	g_33805
ptg000001l	2866244	2951676	85432	g_33805	g_23060
ptg000001l	2957386	2961972	4586	g_23060	g_8012
ptg000001l	2982693	3037923	55230	g_8012	g_16766
ptg000001l	3046746	3054796	8050	g_16766	g_6567
ptg000001l	3055290	3066494	11204	g_6567	g_40257
ptg000001l	3074839	3078664	3825	g_40257	g_25704
ptg000001l	3084070	3086708	2638	g_25704	g_31551
ptg000001l	3088280	3091510	3230	g_31551	g_7726
ptg000001l	3093375	3109734	16359	g_7726	g_34776
ptg000001l	3119012	3190816	71804	g_34776	g_16923
ptg000001l	3193718	3198102	4384	g_16923	g_21762
ptg000001l	3201019	3201801	782	g_21762	g_4653
ptg000001l	3204053	3209329	5276	g_4653	g_3845
ptg000001l	3210198	3236758	26560	g_3845	g_1954
ptg000001l	3244512	3284340	39828	g_1954	g_18734
ptg000001l	3286676	3290877	4201	g_18734	g_23932
